	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
5899	7066163	C0278140	Severe pain	C0150055	Chronic pain	C0948482	analgesic effect	C0235195	Sedated state	C1833334	Early-onset	C0012833	Dizziness	C0027497	Nausea	C0042963	Vomiting	C0428977	Bradycardia																																																																										
5900	7066140	C0235195	Sedated state	C0231837	Slow respiration	C0013144	Drowsiness																																																																																						
5901	7066139	C0948482	analgesic effect	C0582148	Pain score	C0429704	Dynamic lung volume	C1963179	Nausea Adverse Event	C0235195	Sedated state	C1444648	Offered	C1331418	Comfort																																																																														
5902	7066138	C0030193	Pain	C0087136	Unmarried	C0087136	Unmarried	C3843766	<50	C0311392	Physical findings	C0439821	Pricking sensation quality	C0086045	Mental concentration	C0235063	Respiratory Depression																																																																												
5903	7065061	C0543488	Interested	C1384674	Cesarean section (finding)	C0740747	acid base status	C1321771	Central venous pressure finding	C0456261	Pulmonary Vascular Resistance	C3151525	Hypoplastic heart	C3843708	29+	C0442757	3/4																																																																												
5904	7062291	C0023895	Liver diseases	C1854724	Elevated venous pressure	C0267821	Hepatic congestion	C0151872	Prothrombin time increased	C0334149	Massive fibrosis	C0042484	Venous Engorgement	C1273517	Used by	C0267821	Hepatic congestion	C1854724	Elevated venous pressure	C0700148	Congestion	C0267821	Hepatic congestion	C0042484	Venous Engorgement	C0267821	Hepatic congestion																																																																		
5905	7062276	C0877035	Estrogen Effect	C0877035	Estrogen Effect	C0239302	estrogen low																																																																																						
5906	7062007	C0014544	Epilepsy	C3843708	29+	C0009649	Conditioning, Classical	C0004083	Mental association																																																																																				
5907	7062006	C0683954	research results	C3843708	29+	C0150312	Present	C0242510	Drug usage	C0262926	Medical History	C0233397	Psychological symptom	C1444656	Indicated	C1306597	Psychiatric problem	C0242510	Drug usage																																																																										
5908	7061693	C0332128	Examined	C0442749	6/5																																																																																								
5909	7060893	C0015663	Fasting	C0150312	Present	C0150312	Present	C0021467	Psychological inhibition	C0683317	activity level	C2825142	Experimental Result																																																																																
5910	7048840	C0026516	Mood (psychological function)	C0596545	Experience	C0596545	Experience	C0871641	affection																																																																																				
5911	7047580	C0879626	Adverse effects	C1962977	Pain NOS Adverse Event	C1962977	Pain NOS Adverse Event	C0879626	Adverse effects	C0085281	Addictive Behavior	C0184567	Acute onset pain																																																																																
5912	7045987	C0344307	Absence of pain sensation	C0080274	Urinary Retention	C1963281	Vomiting Adverse Event	C0243095	Finding	C0011570	Mental Depression	C0011570	Mental Depression																																																																																
5913	7044361	C3838679	4+ Answer to question	C0423896	Feeling content	C1963091	Diarrhea Adverse Event																																																																																						
5914	7041955	C0879626	Adverse effects	C0237607	Practice Experience	C0879626	Adverse effects	C1963179	Nausea Adverse Event	C1963281	Vomiting Adverse Event																																																																																		
5915	7041002	C0205160	Negative	C1319065	Castrated male	C0860850	Decreased estradiol	C1853744	Elevated propionate	C0087136	Unmarried	C0087136	Unmarried	C0087136	Unmarried	C1319065	Castrated male	C2825142	Experimental Result																																																																										
5916	7039646	C0699809	Does carry	C3844638	Either	C1838994	Rapid onset	C0596545	Experience	C0033774	Pruritus																																																																																		
5917	6924594	C0162340	Comprehension																																																																																										
5918	6811921	C0564405	Feeling relief	C0564405	Feeling relief	C0879626	Adverse effects																																																																																						
5919	6807317	C3843766	<50	C0150312	Present	C2825142	Experimental Result	C2825142	Experimental Result	C1836672	Total Hypotrichosis, Mari type																																																																																		
5920	6295856	C0011849	Diabetes Mellitus	C0011860	Diabetes Mellitus, Non-Insulin-Dependent	C3838679	4+ Answer to question	C0241863	diabetic	C3838679	4+ Answer to question	C0241863	diabetic	C0600138	Does play	C0011860	Diabetes Mellitus, Non-Insulin-Dependent																																																																												
5921	6288595																																																																																												
5922	6288593																																																																																												
5923	6288592	C0425245	Mobility as a finding	C3843766	<50																																																																																								
5924	6287299	C0221198	Lesion	C0231706	Circling gait	C3278494	Striatal lesions	C0231706	Circling gait	C0221198	Lesion	C0231706	Circling gait	C0001721	Affect (mental function)	C0231706	Circling gait	C0231706	Circling gait	C0231706	Circling gait	C3668948	Circling behavior																																																																						
5925	6285371	C0442804	Very high	C0150312	Present	C0344307	Absence of pain sensation																																																																																						
5926	6284172	C3838679	4+ Answer to question	C4284035	Partial Response with Lymphocytosis	C4284035	Partial Response with Lymphocytosis																																																																																						
5927	6280810	C0150312	Present	C0086045	Mental concentration																																																																																								
5928	6280808	C0332128	Examined	C3844638	Either	C0544984	Decrease in receptor sites	C1838994	Rapid onset																																																																																				
5929	6280806	C3843766	<50	C2825142	Experimental Result																																																																																								
5930	6280736	C0221198	Lesion	C0424295	Hyperactive behavior	C0010957	Tissue damage	C0010957	Tissue damage	C0221198	Lesion	C0221198	Lesion	C0221198	Lesion	C2825142	Experimental Result																																																																												
